time,temperature,conversion
704.202,407.5806,0
704.298,407.596,1.21E-07
704.4,407.6112,3.31E-07
704.502,407.626,6.24E-07
704.598,407.6419,9.83E-07
704.7,407.6566,1.45E-06
704.802,407.6718,2.01E-06
704.898,407.6862,2.63E-06
705,407.7016,3.37E-06
705.102,407.7166,4.21E-06
705.198,407.7314,5.08E-06
705.3,407.7456,6.08E-06
705.402,407.7605,7.18E-06
705.498,407.7759,8.30E-06
705.6,407.7907,9.58E-06
705.702,407.8067,1.09E-05
705.798,407.821,1.23E-05
705.9,407.837,1.39E-05
706.002,407.8516,1.55E-05
706.098,407.8655,1.72E-05
706.2,407.8814,1.90E-05
706.302,407.896,2.10E-05
706.398,407.911,2.29E-05
706.5,407.9258,2.50E-05
706.602,407.9413,2.73E-05
706.698,407.9559,2.94E-05
706.8,407.9717,3.19E-05
706.902,407.9863,3.44E-05
706.998,408.0014,3.69E-05
707.1,408.0159,3.96E-05
707.202,408.0308,4.24E-05
707.298,408.0467,4.51E-05
707.4,408.062,4.82E-05
707.502,408.0763,5.13E-05
707.598,408.0912,5.43E-05
707.7,408.1069,5.76E-05
707.802,408.1221,6.10E-05
707.898,408.1361,6.43E-05
708,408.1513,6.79E-05
708.102,408.1665,7.16E-05
708.198,408.1813,7.52E-05
708.3,408.1966,7.91E-05
708.402,408.212,8.31E-05
708.498,408.2261,8.70E-05
708.6,408.2412,9.12E-05
708.702,408.256,9.55E-05
708.798,408.271,9.97E-05
708.9,408.2867,1.04E-04
709.002,408.3007,1.09E-04
709.098,408.3165,1.13E-04
709.2,408.3312,1.18E-04
709.302,408.3459,1.23E-04
709.398,408.3611,1.28E-04
709.5,408.3761,1.33E-04
709.602,408.3913,1.38E-04
709.698,408.4063,1.43E-04
709.8,408.4213,1.49E-04
709.902,408.4366,1.54E-04
709.998,408.4521,1.59E-04
710.1,408.4664,1.65E-04
710.202,408.4818,1.71E-04
710.298,408.4958,1.77E-04
710.4,408.5108,1.83E-04
710.502,408.5264,1.89E-04
710.598,408.5421,1.95E-04
710.7,408.5557,2.01E-04
710.802,408.5718,2.08E-04
710.898,408.587,2.14E-04
711,408.6018,2.21E-04
711.102,408.6158,2.27E-04
711.198,408.6302,2.34E-04
711.3,408.6474,2.41E-04
711.402,408.6606,2.48E-04
711.498,408.6763,2.55E-04
711.6,408.6908,2.62E-04
711.702,408.7057,2.70E-04
711.798,408.7202,2.77E-04
711.9,408.7356,2.84E-04
712.002,408.7514,2.92E-04
712.098,408.7664,3.00E-04
712.2,408.7812,3.07E-04
712.302,408.7964,3.16E-04
712.398,408.8117,3.23E-04
712.5,408.8258,3.32E-04
712.602,408.8411,3.40E-04
712.698,408.8563,3.48E-04
712.8,408.8713,3.56E-04
712.902,408.8852,3.65E-04
712.998,408.9013,3.73E-04
713.1,408.9156,3.82E-04
713.202,408.9307,3.91E-04
713.298,408.9453,4.00E-04
713.4,408.961,4.09E-04
713.502,408.976,4.18E-04
713.598,408.9906,4.27E-04
713.7,409.007,4.37E-04
713.802,409.0215,4.47E-04
713.898,409.0359,4.56E-04
714,409.0521,4.66E-04
714.102,409.0662,4.76E-04
714.198,409.0811,4.85E-04
714.3,409.096,4.95E-04
714.402,409.1113,5.05E-04
714.498,409.1265,5.15E-04
714.6,409.1404,5.26E-04
714.702,409.1569,5.36E-04
714.798,409.1712,5.46E-04
714.9,409.1852,5.57E-04
715.002,409.2016,5.68E-04
715.098,409.2155,5.79E-04
715.2,409.2312,5.90E-04
715.302,409.246,6.01E-04
715.398,409.2614,6.12E-04
715.5,409.2761,6.23E-04
715.602,409.2908,6.35E-04
715.698,409.3063,6.46E-04
715.8,409.3213,6.58E-04
715.902,409.3363,6.70E-04
715.998,409.3519,6.81E-04
716.1,409.3667,6.93E-04
716.202,409.3811,7.05E-04
716.298,409.396,7.17E-04
716.4,409.4115,7.29E-04
716.502,409.4264,7.42E-04
716.598,409.4414,7.54E-04
716.7,409.4564,7.66E-04
716.802,409.4716,7.79E-04
